,CONTROL,TUITFTE,INEXPFTE,AVGFACSAL,OPENADMP,ADM_RATE,SAT_AVG,ACTCMMID,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4_NOLOANNOPELL,FTFTPCTPELL,DEBT_MDN,C100_4_POOLED,C150_4_POOLED,MEDIAN_HH_INC,POVERTY_RATE,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,PFTFAC,DEP_STAT_PCT_IND,REGION,DEBT_MDN_SUPP,UG25ABV,CDR3,CDR2,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10
186,2,34648.0,21748.0,7776.0,2.0,0.6765,,,64097.0,43416.0,43416.0,0.6533,0.2601,28250.0,0.27,0.6967,74131.88,9.14999961853027,0.4801444043,0.1516245487,0.12635379060000002,0.1137184116,0.1281588448,0.2643,0.28700361010000003,8,28250,0.2868,0.048,0.051,56400,63500,71200
189,2,19919.0,11405.0,9160.0,2.0,0.6851,1147.0,24.0,51578.0,38880.0,38880.0,0.6177,0.3333,18970.0,0.4851,0.6466,73950.46,7.94999980926513,0.35170413340000006,0.1641285956,0.1607445008,0.13729755859999998,0.1861252115,0.4042,0.4711143341,8,18970,0.1206,0.03,0.037000000000000005,52100,51800,60200
193,2,6413.0,968.0,,1.0,,,,17255.0,8095.0,8095.0,0.2963,0.2586,11536.0,0.0574,0.1639,73410.31,11.4399995803833,0.71875,,,,,,0.5208333333,8,11536,0.3774,0.081,0.071,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
194,2,22560.0,12059.0,9348.0,2.0,0.7347,1170.0,24.0,53611.0,40488.0,40488.0,0.6496,0.3016,20000.0,0.5529999999999999,0.7316,75484.4,7.46999979019165,0.2748143147,0.1350438893,0.1505739365,0.1525995949,0.2869682647,1.0,0.0884537475,8,20000,0.0511,0.02,0.016,40900,47300,56800
198,2,25180.0,12564.0,8314.0,,,,,,,,,,18750.0,,,76698.12,7.96000003814697,0.6705882353,0.1529411765,,,,0.2906,,8,18750,0.86,0.034,0.043,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
200,2,18673.0,9058.0,9674.0,2.0,0.7955,1103.0,22.0,44746.0,33478.0,33478.0,0.6859999999999999,0.4138,21522.0,0.38299999999999995,0.5667,66849.57,9.90999984741211,0.3549390718,0.17500648170000002,0.1628208452,0.13430127039999998,0.17293233079999998,0.3274,0.3728286233,8,21522,0.2386,0.045,0.044000000000000004,40700,47200,51700
201,2,30596.0,17630.0,9662.0,2.0,0.8818,,,64030.0,49138.0,49138.0,0.6033,0.2553,25000.0,0.385,0.6065,73343.27,7.98000001907348,0.4243243243,0.1351351351,0.1675675676,0.1135135135,0.15945945949999998,0.2121,0.1945945946,8,25000,0.1386,0.028999999999999998,0.043,45000,57300,44200
203,2,18877.0,104953.0,19993.0,2.0,0.0662,1566.0,36.0,68901.0,52362.0,52362.0,0.9149,0.1191,8013.0,0.7984,0.9071,81448.64,6.650000095367429,0.347826087,0.18478260870000002,,,0.2717391304,0.9195,,8,8013,0.0073,0.0,0.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
204,2,19499.0,10207.0,9974.0,2.0,0.7147,1163.0,24.0,56491.0,42692.0,42692.0,0.7424,0.3009,18000.0,0.6578,0.7363,81648.78,6.4899997711181605,0.2868913858,0.143071161,0.1573033708,0.1370786517,0.2756554307,1.0,0.2194756554,8,18000,0.1131,0.03,0.023,54900,60800,61600
205,1,9068.0,9695.0,10335.0,2.0,0.3017,1339.0,29.0,27073.0,9816.0,21696.0,0.8392,0.1565,17000.0,0.47600000000000003,0.8194,74683.78,7.15999984741211,0.2438468551,0.1137192343,0.1344576117,0.1387876026,0.3691886964,0.6835,0.0699635369,8,17000,0.0284,0.009000000000000001,0.02,68400,73500,77900
207,1,3321.0,6413.0,9585.0,2.0,0.2302,,,16714.0,7309.0,19189.0,0.4861,0.6905,11655.0,0.1642,0.4151,53982.7,16.3899993896484,0.5266055046,0.2036697248,0.1433486239,0.0711009174,0.05527522940000001,0.5124,0.30711009170000003,8,11655,0.2022,0.067,0.066,49000,50500,52900
208,1,4680.0,7820.0,9475.0,2.0,0.8582,,,16442.0,7072.0,18952.0,0.5589,0.6336,11749.0,0.1284,0.5528,56979.76,12.9499998092651,0.5093858633,0.1835457706,0.1673232908,0.0882966396,0.0514484357,0.5097,0.3191193511,8,11749,0.2064,0.044000000000000004,0.034,47700,47800,52000
209,1,3622.0,6925.0,9779.0,2.0,0.5483,991.0,18.0,18522.0,6922.0,18802.0,0.6077,0.6738,12815.0,0.12300000000000001,0.5557,59070.9,13.359999656677198,0.5391883707,0.1831617202,0.1548152635,0.0712295578,0.051605087800000005,0.4812,0.2930345245,8,12815,0.1974,0.057,0.063,46100,50200,53800
210,1,4699.0,7042.0,10587.0,2.0,0.5515,1143.0,23.0,21302.0,7353.0,19233.0,0.7302,0.4594,15000.0,0.1949,0.6847,68064.96,11.0900001525878,0.499261811,0.17298228350000003,0.1402559055,0.09055118109999999,0.09694881890000001,0.4729,0.2539370079,8,15000,0.1651,0.028999999999999998,0.027999999999999997,57300,57000,61400
211,1,4242.0,6957.0,9723.0,2.0,0.6526,1092.0,21.0,23508.0,7608.0,19488.0,0.7029,0.441,14297.0,0.26899999999999996,0.6592,61867.44,9.630000114440909,0.4755025126,0.17179648239999998,0.1344221106,0.09265075380000001,0.1256281407,0.5577,0.2388505025,8,14297,0.1332,0.051,0.061,52800,55000,59300
212,1,3854.0,6572.0,9752.0,2.0,0.6394,,,14469.0,6942.0,18822.0,0.4778,0.7419,12500.0,0.0788,0.4398,54533.0,17.8199996948242,0.6452131939,0.17473853579999998,0.11279163310000001,0.0418342719,0.0254223652,0.405,0.4799678198,8,12500,0.3655,0.057,0.08800000000000001,44000,52800,57800
213,1,3735.0,6966.0,9393.0,2.0,0.5753,1019.0,19.0,16915.0,6587.0,18467.0,0.6114,0.6607,12136.0,0.1543,0.5476,53295.09,16.0699996948242,0.5329844074,0.2162250572,0.1385890306,0.0625885945,0.0496129103,0.5432,0.2405408352,8,12136,0.1557,0.05,0.05,46500,48800,54100
214,1,5172.0,6858.0,10201.0,2.0,0.4341,1124.0,22.0,17645.0,6886.0,18766.0,0.7038,0.5231,12500.0,0.2193,0.6703,73036.4,9.40999984741211,0.5110886311999999,0.1812310326,0.14948253050000002,0.0768811766,0.0813166291,0.4861,0.2768656136,8,12500,0.1948,0.026000000000000002,0.040999999999999995,50200,52200,55100
215,1,5794.0,6049.0,10210.0,2.0,0.716,,,21371.0,6983.0,18863.0,0.5267,0.5391,12500.0,0.1054,0.4562,78750.43,8.39000034332275,0.5572429907,0.18074098800000002,0.13501335109999998,0.0720961282,0.0549065421,0.4603,0.4305740988,8,12500,0.3327,0.054000000000000006,0.036000000000000004,55000,61000,65500
216,1,4721.0,7795.0,10192.0,2.0,0.3121,1146.0,23.0,18306.0,6798.0,18678.0,0.7427,0.5079,13453.0,0.1645,0.6906,66954.9,11.9399995803833,0.53167589,0.1722970183,0.1444618816,0.0764020814,0.07516312879999999,0.4856,0.27100024780000004,8,13453,0.1742,0.023,0.043,51600,54400,54300
217,1,3656.0,6641.0,9827.0,2.0,0.4152,978.0,18.0,14823.0,6749.0,18629.0,0.5218,0.7706,11795.0,0.0777,0.4786,52850.08,17.5100002288818,0.6179345516,0.1852103697,0.11585210369999999,0.050573735700000004,0.0304292393,0.4134,0.31500212489999996,8,11795,0.2519,0.043,0.054000000000000006,48600,51200,55900
